"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R16","RESC2012N","103.175mm","60.45mm","103.175mm","60.45mm","104.075mm","60.45mm","T","180.00","1k"
"C18","CAPC2012N","75.425mm","74.2mm","75.425mm","74.2mm","75.425mm","73.35mm","T","90.00","220n"
"R17","RESC2012N","73.475mm","74.2mm","73.475mm","74.2mm","73.475mm","73.3mm","T","90.00","750R"
"R18","RESC2012N","62.9501mm","57.125mm","62.9501mm","57.125mm","62.9501mm","56.225mm","T","90.00","1M"
"R19","RESC2012N","76.55mm","56.7mm","76.55mm","56.7mm","76.55mm","55.8mm","T","90.00","1M"
"R59","RESC2012N","86.275mm","56.7mm","86.275mm","56.7mm","86.275mm","55.8mm","T","90.00","1M"
"R79","RESC2012N","77.375mm","74.2mm","77.375mm","74.2mm","77.375mm","73.3mm","T","90.00","1M"
"R107","RESC2012N","68.85mm","68.225mm","68.85mm","68.225mm","68.85mm","67.325mm","T","90.00","1M"
"R70","RESC2012N","52.775mm","86.85mm","52.775mm","86.85mm","52.775mm","85.95mm","T","90.00","10R"
"U6","QFN-ML20_N","4.85mm","50.125mm","4.85mm","50.125mm","3.85mm","48.125mm","T","90.00","ULN2803A QFN20"
"C73","tantal_B_3528-21","58.9mm","47.925mm","58.9mm","47.925mm","58.9mm","46.215mm","T","90.00","100u"

